,IP_SRC,SRC_NAME
0,13.107.42.14,linkedin.com
1,144.2.12.5,de.linkedin.com
2,144.2.15.5,ie.linkedin.com
3,144.2.15.5,pt.linkedin.com
4,144.2.15.5,il.linkedin.com
5,144.2.15.5,my.linkedin.com
6,144.2.12.5,in.linkedin.com
7,144.2.15.5,bo.linkedin.com
8,144.2.12.5,za.linkedin.com
9,144.2.15.5,cn.linkedin.com
10,144.2.15.5,au.linkedin.com
11,144.2.12.5,id.linkedin.com
12,144.2.12.5,ng.linkedin.com
13,144.2.12.5,ch.linkedin.com
14,144.2.15.5,jp.linkedin.com
15,144.2.15.5,zw.linkedin.com
16,144.2.12.5,jm.linkedin.com
17,144.2.12.5,sv.linkedin.com
18,144.2.15.5,gt.linkedin.com
19,144.2.12.5,cr.linkedin.com
20,144.2.12.5,it.linkedin.com
21,144.2.15.5,cl.linkedin.com
22,144.2.12.5,es.linkedin.com
23,144.2.15.5,co.linkedin.com
24,144.2.12.5,pe.linkedin.com
25,144.2.15.5,ae.linkedin.com
26,144.2.15.5,nz.linkedin.com
27,144.2.12.5,pa.linkedin.com
28,144.2.15.5,sg.linkedin.com
29,144.2.12.5,fr.linkedin.com
30,144.2.15.5,ro.linkedin.com
31,144.2.15.5,uk.linkedin.com
32,144.2.12.5,nl.linkedin.com
33,144.2.12.5,ke.linkedin.com
34,144.2.12.5,no.linkedin.com
35,144.2.12.5,ca.linkedin.com
36,144.2.12.5,ru.linkedin.com
37,144.2.12.5,gh.linkedin.com
38,144.2.15.5,pr.linkedin.com
39,144.2.12.5,do.linkedin.com
40,144.2.12.5,at.linkedin.com
41,144.2.12.5,ec.linkedin.com
42,144.2.12.5,cz.linkedin.com
43,144.2.12.5,ph.linkedin.com
44,144.2.12.5,pk.linkedin.com
45,144.2.12.5,se.linkedin.com
46,144.2.12.5,kr.linkedin.com
47,144.2.15.5,tt.linkedin.com
48,144.2.15.5,tw.linkedin.com
49,144.2.15.5,hk.linkedin.com
50,144.2.15.5,br.linkedin.com
51,144.2.12.5,uy.linkedin.com
52,144.2.12.5,ve.linkedin.com
53,144.2.12.5,mx.linkedin.com
54,144.2.12.5,ar.linkedin.com
55,144.2.12.5,th.linkedin.com
56,144.2.12.5,dk.linkedin.com
57,144.2.15.5,lu.linkedin.com
58,144.2.15.5,pl.linkedin.com
59,144.2.15.5,tr.linkedin.com
60,217.31.236.48,static-exp1.licdn.com
61,217.31.236.49,static.licdn.com
62,172.217.169.206,youtube-nocookie.com
63,144.2.15.5,about.linkedin.com
64,144.2.15.5,press.linkedin.com
65,144.2.12.5,blog.linkedin.com
66,144.2.12.5,developer.linkedin.com
67,144.2.15.5,mobile.linkedin.com
68,144.2.15.5,business.linkedin.com
69,144.2.12.5,learning.linkedin.com
70,108.174.10.14,linkedinmobileapp.com
71,,about.linkedin.com?trk=homepage-basic_footer-about
72,144.2.15.5,brand.linkedin.com
73,128.30.52.100,w3.org
74,40.112.72.205,microsoft.com
75,,http-equiv=
76,,https?|ftp|mailto|tel|sms|blob|voyager|android-app|linkedin|chrome-extension|invalid|data:(?:(?:image
77,216.58.206.174,youtube.com
78,18.67.65.85,ogp.me
79,217.31.236.48,content.linkedin.com
80,,https&#x3a;&#x2f;&#x2f;linkedin.com&#x2f;legal&#x2f;cookie-policy&quot; target&#x3d;&quot;_blank&quot;&gt;Cookie Policy&lt;&#x2f;a&gt;.
81,,https&#x3a;&#x2f;&#x2f;linkedin.com&#x2f;legal&#x2f;cookie-policy&quot; target&#x3d;&quot;_blank&quot;&gt;Cookie Policy&lt;&#x2f;a&gt; for more information.
82,144.2.15.5,news.linkedin.com
83,144.2.12.5,engineering.linkedin.com
84,144.2.12.5,economicgraph.linkedin.com
85,141.193.213.20,news.microsoft.com
86,144.2.15.5,nonprofit.linkedin.com
87,104.244.42.1,twitter.com
88,,blog.linkedin.com:443
89,,https
90,108.156.2.71,forms.feedblitz.com
91,38.109.143.66,feedblitz.com
92,157.240.234.35,facebook.com
93,34.205.238.157,slideshare.net
94,108.139.240.117,flickr.com
95,217.31.236.48,platform.linkedin.com
96,108.139.243.74,sb.scorecardresearch.com
97,144.2.12.5,legal.linkedin.com
98,88.221.139.178,docs.microsoft.com
99,52.215.192.132,linkedin.statuspage.io
100,185.11.13.83,c.singular.net
101,34.75.221.36,joshbersin.com
102,18.66.218.109,fortune.com
103,144.2.12.5,careers.linkedin.com
104,172.217.169.141,accounts.google.com
105,172.217.17.99,ssl.gstatic.com
106,128.30.52.100,w3.org
107,,http
108,,http:\
109,,https:)?
110,,https?|mailto|ftp):|[^:
111,,https?|mailto):|[^&:\
112,142.250.184.142,policies.google.com
113,216.58.206.174,youtube.com
114,,https?$
115,,http(s)?):)?\\
116,,https?:)?\
117,0.0.0.0,
118,142.250.187.174,apis.google.com
119,142.250.153.129,uberproxy-pen-redirect.corp.google.com
120,,https:
121,216.58.214.142,google.com
122,172.217.20.67,gstatic.com
123,172.217.17.131,fonts.gstatic.com
124,172.217.17.238,myaccount.google.com
125,172.217.17.238,g.co
126,142.250.184.142,support.google.com
127,142.250.187.174,play.google.com
128,,http-equiv=
129,,https?|ftp|mailto|tel|sms|blob|voyager|android-app|linkedin|chrome-extension|invalid|data:(?:(?:image
130,130.35.96.16,linkedin.custhelp.com
131,13.107.42.14,linkedin.com
132,142.250.184.142,m.youtube.com
133,199.232.18.109,f.vimeocdn.com
134,151.101.0.217,vimeo.com
135,199.232.18.109,i.vimeocdn.com
136,,https
137,104.16.148.64,cdn.cookielaw.org
138,,https:\
139,,"https:' == document.location.protocol,"
140,,https:' : 'http:') + '
141,104.16.51.111,vimeo.zendesk.com
142,52.71.90.197,vimeo.extole.com
143,199.232.16.217,help.vimeo.com
144,144.2.12.5,de.linkedin.com
145,144.2.15.5,ie.linkedin.com
146,144.2.15.5,pt.linkedin.com
147,144.2.15.5,il.linkedin.com
148,144.2.15.5,my.linkedin.com
149,144.2.12.5,in.linkedin.com
150,144.2.15.5,bo.linkedin.com
151,144.2.12.5,za.linkedin.com
152,144.2.15.5,cn.linkedin.com
153,144.2.15.5,au.linkedin.com
154,144.2.12.5,id.linkedin.com
155,144.2.12.5,ng.linkedin.com
156,144.2.15.5,ch.linkedin.com
157,144.2.15.5,jp.linkedin.com
158,144.2.15.5,zw.linkedin.com
159,144.2.12.5,jm.linkedin.com
160,144.2.12.5,sv.linkedin.com
161,144.2.15.5,gt.linkedin.com
162,144.2.12.5,cr.linkedin.com
163,144.2.12.5,it.linkedin.com
164,144.2.15.5,cl.linkedin.com
165,144.2.12.5,es.linkedin.com
166,144.2.15.5,co.linkedin.com
167,144.2.12.5,pe.linkedin.com
168,144.2.15.5,ae.linkedin.com
169,144.2.15.5,nz.linkedin.com
170,144.2.12.5,pa.linkedin.com
171,144.2.15.5,sg.linkedin.com
172,144.2.12.5,fr.linkedin.com
173,144.2.15.5,ro.linkedin.com
174,144.2.15.5,uk.linkedin.com
175,144.2.12.5,nl.linkedin.com
176,144.2.12.5,ke.linkedin.com
177,144.2.12.5,no.linkedin.com
178,144.2.15.5,ca.linkedin.com
179,144.2.12.5,ru.linkedin.com
180,144.2.15.5,gh.linkedin.com
181,144.2.15.5,pr.linkedin.com
182,144.2.12.5,do.linkedin.com
183,144.2.15.5,at.linkedin.com
184,144.2.14.5,ec.linkedin.com
185,144.2.12.5,cz.linkedin.com
186,144.2.12.5,ph.linkedin.com
187,144.2.12.5,pk.linkedin.com
188,144.2.12.5,se.linkedin.com
189,144.2.12.5,kr.linkedin.com
190,144.2.15.5,tt.linkedin.com
191,144.2.15.5,tw.linkedin.com
192,144.2.15.5,hk.linkedin.com
193,144.2.15.5,br.linkedin.com
194,144.2.12.5,uy.linkedin.com
195,144.2.12.5,ve.linkedin.com
196,144.2.12.5,mx.linkedin.com
197,144.2.12.5,ar.linkedin.com
198,144.2.12.5,th.linkedin.com
199,144.2.14.5,dk.linkedin.com
200,144.2.15.5,lu.linkedin.com
201,144.2.15.5,pl.linkedin.com
202,144.2.15.5,tr.linkedin.com
203,185.11.15.50,static-exp1.licdn.com
204,185.11.15.57,static.licdn.com
205,172.217.169.206,youtube-nocookie.com
206,144.2.12.5,about.linkedin.com
207,144.2.14.5,press.linkedin.com
208,144.2.12.5,blog.linkedin.com
209,144.2.12.5,developer.linkedin.com
210,144.2.15.5,mobile.linkedin.com
211,144.2.15.5,business.linkedin.com
212,144.2.12.5,learning.linkedin.com
213,,about.linkedin.com?trk=homepage-basic_footer-about
214,144.2.15.5,brand.linkedin.com
215,13.107.246.45,aadcdn.msauth.net
216,20.190.160.9,login.live.com
217,13.107.213.45,content.powerapps.com
218,51.116.144.128,api.powerbi.com
219,13.69.68.67,powerbi.microsoft.com
220,20.52.49.172,app.powerbi.com
221,23.194.176.88,go.microsoft.com
222,172.217.169.141,accounts.google.com
223,185.11.15.57,static.licdn.com
224,185.11.15.50,static-exp1.licdn.com
225,185.11.15.57,static-exp2.licdn.com
226,,static-exp3.licdn.com;
227,185.11.15.50,snap.licdn.com
228,185.11.15.50,platform.linkedin.com
229,185.11.15.57,platform-akam.linkedin.com
230,152.199.22.144,platform-ecst.linkedin.com
231,40.90.65.55,platform-azur.linkedin.com
232,152.199.21.118,dms.licdn.com
233,,*.lynda.com;
234,216.58.206.174,youtube.com
235,172.217.169.206,youtube-nocookie.com
236,142.250.187.174,smartlock.google.com
237,108.156.2.74,linkedin.cdn.qualaroo.com
238,199.232.16.217,player.vimeo.com
239,13.107.42.14,linkedin.com
240,13.80.68.77,msit.powerbi.com
241,20.52.49.172,app.powerbi.com
242,,*.licdn.com;
243,,onyx.linkedin.com;
244,142.250.187.174,apis.google.com
245,172.217.17.99,ssl.gstatic.com
246,216.58.214.142,google.com
247,172.217.20.67,gstatic.com
248,142.250.187.100,google-analytics.com
249,172.217.169.206,market.android.com
250,142.250.187.132,googleapis.com
251,172.217.169.141,accounts.google.com
252,185.11.15.57,static.licdn.com
253,185.11.15.50,static-exp1.licdn.com
254,185.11.15.57,static-exp2.licdn.com
255,,static-exp3.licdn.com;
256,185.11.15.50,snap.licdn.com
257,185.11.15.50,platform.linkedin.com
258,185.11.15.57,platform-akam.linkedin.com
259,152.199.22.144,platform-ecst.linkedin.com
260,40.90.65.55,platform-azur.linkedin.com
261,152.199.21.118,dms.licdn.com
262,,*.lynda.com;
263,216.58.206.174,youtube.com
264,172.217.169.206,youtube-nocookie.com
265,142.250.187.174,smartlock.google.com
266,108.156.2.74,linkedin.cdn.qualaroo.com
267,199.232.16.217,player.vimeo.com
268,13.107.42.14,linkedin.com
269,13.80.68.77,msit.powerbi.com
270,20.52.49.172,app.powerbi.com
271,,*.licdn.com;
272,,onyx.linkedin.com;
273,20.52.49.172,teams.powerbi.com
274,52.113.194.132,teams.microsoft.com
275,40.101.124.194,outlook.office.com
276,13.107.18.10,outlook-sdf.office.com
277,52.97.137.114,outlook.office365.com
278,52.96.27.2,outlook-sdf.office365.com
279,13.107.6.156,office.com
280,23.101.180.195,scuprodprv.office.com
